site,agra,bobs,care,cfer,cnic,cobs,cpar,csp1,csp2,cvar,cvit,dsib,esha,mchi,mflo,mpsw,ntay,pdiv,pfer,plon,pnod,ppar,semm,sinv,sjac,ssp1,tbic,tlan,tmel
LMC02b,0,33.3,16.7,0,0,0,0,0,0,0,0,0,0,50,0,0,66.7,0,0,83.3,0,33.3,50,0,0,16.7,0,83.3,33.3
LMC02c,0,0,0,0,0,0,0,0,0,0,0,0,0,16.7,0,0,33.3,0,0,83.3,0,50,16.7,0,0,33.3,16.7,100,66.7
LMC02d,0,0,0,0,0,0,0,0,0,16.7,0,0,0,0,16.7,0,0,0,0,83.3,0,83.3,0,0,0,0,0,100,33.3
LMC02e,16.7,0,50,16.7,16.7,0,0,0,0,0,0,16.7,0,0,0,16.7,16.7,0,0,100,0,83.3,0,0,0,0,0,100,66.7
LMC03a,0,0,0,0,0,0,0,0,0,33.3,16.7,16.7,0,33.3,0,0,0,0,0,100,0,83.3,0,0,16.7,0,0,100,33.3
LMC03b,16.7,66.7,0,0,16.7,16.7,0,0,0,0,0,0,0,100,0,0,16.7,0,66.7,100,0,0,0,0,0,0,33.3,100,83.3
LMC04a,0,0,0,0,0,50,0,0,0,16.7,16.7,0,0,50,33.3,0,0,0,16.7,100,0,66.7,0,0,0,0,50,100,0
LMC04b,0,50,16.7,0,0,0,0,0,0,16.7,0,0,0,16.7,0,83.3,83.3,0,0,100,33.3,0,0,0,0,0,16.7,100,0
LMC05a,0,50,0,16.7,0,33.3,0,0,0,33.3,0,0,0,83.3,0,0,83.3,0,33.3,100,0,33.3,0,0,0,0,83.3,100,100
LMC05b,33.3,0,0,0,0,0,0,0,0,16.7,0,0,0,0,0,66.7,16.7,0,16.7,66.7,0,83.3,0,0,0,0,16.7,100,16.7
LMC05c,0,16.7,0,0,33.3,0,0,0,0,0,0,0,16.7,33.3,0,0,100,33.3,33.3,0,66.7,100,0,0,16.7,0,0,100,16.7
LMC07a,16.7,16.7,0,0,0,0,0,0,0,66.7,0,0,0,66.7,0,0,0,0,83.3,83.3,0,0,0,0,0,0,0,100,83.3
LMC08a,0,33.3,0,0,0,0,0,0,0,0,0,0,0,50,0,0,50,16.7,16.7,0,0,0,0,0,0,0,0,100,16.7
LMC08b,0,33.3,0,0,0,0,0,0,0,0,33.3,0,0,83.3,33.3,0,83.3,16.7,66.7,0,0,50,0,0,16.7,0,83.3,100,16.7
LMC08c,33.3,66.7,0,0,0,0,0,0,0,0,0,0,0,100,33.3,0,66.7,0,50,16.7,0,83.3,0,0,16.7,0,0,100,50
LMC09a,33.3,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.7,0,0,83.3,0,100,0,0,0,0,0,66.7,100
LMC09b,83.3,16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,66.7,83.3,0,0,100,0,100,0,0,0,0,16.7,83.3,0
LMC09c,0,50,0,0,0,0,0,0,0,0,0,0,0,100,0,0,83.3,0,0,100,0,50,0,0,0,0,33.3,66.7,0
LMC11a,16.7,0,0,0,0,0,0,0,0,16.7,0,0,0,0,16.7,0,66.7,0,0,100,0,100,0,0,0,0,16.7,100,33.3
LMC11b,16.7,0,0,0,16.7,16.7,0,0,0,0,0,0,0,50,50,0,50,0,0,33.3,0,100,0,0,0,0,16.7,100,33.3
MP01a,0,33.3,0,0,0,0,0,0,33.3,0,0,0,0,66.7,0,0,16.7,16.7,0,0,0,33.3,16.7,0,0,0,0,100,0
MP01b,0,66.7,16.7,0,16.7,0,16.7,0,0,0,0,0,0,100,0,33.3,33.3,33.3,0,0,0,50,0,0,0,0,0,83.3,16.7
MP01c,16.7,16.7,0,0,33.3,0,16.7,16.7,0,16.7,16.7,0,16.7,83.3,0,0,33.3,0,0,33.3,0,66.7,0,0,0,0,0,100,0
MP01d,0,50,0,0,0,0,0,0,0,0,16.7,0,0,83.3,0,16.7,50,0,0,66.7,0,33.3,0,0,0,0,33.3,100,33.3
MP01e,0,0,0,0,0,0,33.3,0,0,0,0,0,16.7,100,0,33.3,33.3,0,0,83.3,0,33.3,16.7,0,0,0,16.7,100,0
MP02a,0,16.7,0,0,16.7,0,0,0,0,0,0,0,16.7,33.3,0,33.3,16.7,16.7,0,66.7,0,33.3,16.7,0,0,0,0,100,16.7
MP02b,0,0,0,0,16.7,0,16.7,0,0,0,0,0,0,33.3,0,0,16.7,0,0,83.3,0,0,0,0,0,0,0,100,0
MP02c,0,0,0,0,0,0,20,0,0,0,0,0,0,60,20,0,0,0,0,40,0,0,0,0,40,0,0,100,0
MP02d,0,0,50,0,33.3,16.7,0,0,0,0,16.7,0,0,50,0,16.7,0,0,0,0,0,0,0,0,0,0,0,66.7,0
MP03a,0,0,0,0,0,0,33.3,0,0,0,0,0,0,66.7,0,0,16.7,100,0,0,0,0,0,0,0,0,16.7,33.3,66.7
MP03b,0,0,50,16.7,0,0,0,0,0,16.7,0,0,16.7,50,0,33.3,0,83.3,0,0,0,16.7,0,0,0,0,0,100,16.7
MP03c,0,16.7,33.3,0,0,0,0,0,0,0,0,16.7,16.7,66.7,0,0,0,16.7,0,50,0,0,0,0,16.7,0,0,33.3,33.3
MP03d,0,0,0,0,0,0,0,0,0,0,0,16.7,16.7,33.3,0,0,0,83.3,0,50,0,33.3,0,0,0,0,0,83.3,16.7
MP03e,0,0,0,0,0,0,0,0,0,0,0,0,0,66.7,0,0,0,66.7,0,33.3,0,0,0,0,16.7,0,0,83.3,0
MP03f,0,50,0,0,33.3,0,0,0,0,0,0,0,16.7,50,0,0,16.7,0,0,16.7,0,0,0,0,0,0,0,50,0
MP04b,0,0,0,0,0,0,0,16.7,16.7,0,0,0,0,33.3,0,0,33.3,0,16.7,0,0,50,0,0,16.7,0,16.7,66.7,16.7
MP04d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.3,0,0,100,0,0,0,0,0,0,0,16.7,0,0
LMC11c,0,0,0,0,0,100,0,0,0,0,0,0,0,16.7,0,66.7,100,0,0,66.7,0,50,0,83.3,0,0,0,0,50
LMC11d,0,0,0,0,0,66.7,0,33.3,0,16.7,0,0,0,0,0,0,16.7,0,0,0,0,0,0,100,0,50,0,0,0
LMC11e,0,0,0,0,0,83.3,0,66.7,0,0,0,0,0,0,0,0,33.3,0,0,0,0,0,0,100,0,33.3,0,0,0
LMC14a,0,0,0,0,16.7,50,0,66.7,0,50,0,0,0,0,0,0,33.3,0,0,0,0,0,0,100,0,16.7,0,0,0
LMC14b,0,16.7,0,16.7,33.3,100,0,0,0,16.7,16.7,0,0,83.3,0,0,83.3,0,0,0,0,0,0,100,0,0,16.7,0,0
LMC14c,0,16.7,0,16.7,16.7,33.3,0,0,0,83.3,0,0,0,83.3,16.7,0,66.7,0,0,66.7,0,0,0,100,0,0,16.7,33.3,50
LMC14d,0,0,33.3,0,66.7,50,0,0,0,33.3,0,16.7,16.7,100,50,0,100,0,0,0,16.7,16.7,0,100,16.7,0,0,33.3,16.7
LMC14e,0,0,16.7,0,33.3,100,0,83.3,0,66.7,0,0,16.7,0,0,0,100,0,0,16.7,16.7,0,0,100,0,16.7,0,0,50
LMC14f,0,0,0,16.7,0,33.3,0,0,0,50,0,0,0,0,50,0,100,0,0,0,0,0,0,100,0,0,0,0,0
LMC14g,0,16.7,0,0,0,66.7,0,0,0,33.3,0,0,0,0,0,0,66.7,0,0,0,0,0,0,100,0,0,0,0,16.7
LMC14h,0,0,0,0,0,16.7,0,0,0,66.7,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0,16.7
LMC14i,0,0,0,16.7,0,33.3,0,0,0,16.7,0,0,0,0,16.7,0,83.3,16.7,0,16.7,0,0,0,100,0,0,0,0,33.3
LMC14j,0,16.7,0,0,0,83.3,0,100,0,0,0,0,0,33.3,0,0,100,16.7,0,33.3,0,33.3,0,100,0,0,0,0,100
LMC16a,0,0,0,0,0,16.7,0,0,0,16.7,0,0,0,0,0,0,83.3,0,0,16.7,0,0,0,100,0,0,0,0,16.7
LMC16b,0,0,0,0,0,33.3,0,0,16.7,16.7,0,0,0,0,0,0,100,0,0,50,0,0,0,100,0,0,0,0,0
LMC16c,0,0,0,0,0,50,0,33.3,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,100,0,0,0,0,50
LMC17a,0,0,0,0,0,33.3,0,0,0,0,0,0,0,33.3,0,33.3,50,0,50,0,0,33.3,0,33.3,0,0,50,16.7,50
LMC17b,0,0,0,0,0,0,0,0,83.3,0,0,0,0,66.7,0,100,50,0,100,0,0,0,0,66.7,0,0,0,0,33.3
MP04a,16.7,0,0,0,0,0,0,0,16.7,0,0,0,0,0,0,0,33.3,0,0,0,0,33.3,0,16.7,0,0,33.3,0,33.3
MP04c,0,0,0,0,0,16.7,0,0,16.7,0,0,0,0,0,0,33.3,0,0,66.7,0,0,0,0,50,0,0,33.3,0,16.7
MP04e,16.7,0,0,0,0,33.3,0,0,0,0,0,0,0,66.7,0,0,0,0,83.3,0,0,50,0,16.7,0,0,0,16.7,16.7
MP04f,16.7,0,0,0,0,0,0,0,0,0,0,0,0,33.3,0,66.7,16.7,0,0,0,0,50,16.7,83.3,16.7,0,0,16.7,50
MP04g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,16.7,0,0,0,0,16.7,0,83.3,0,0,0,0,0
MP04h,0,0,0,0,0,0,0,0,0,0,0,16.7,0,16.7,0,100,0,0,0,0,0,0,0,100,0,0,0,0,0